"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Puerto Rico","Americas",1952,64.28,2227000,3081.959785
"2","Puerto Rico","Americas",1957,68.54,2260000,3907.156189
"3","Puerto Rico","Americas",1962,69.62,2448046,5108.34463
"4","Puerto Rico","Americas",1967,71.1,2648961,6929.277714
"5","Puerto Rico","Americas",1972,72.16,2847132,9123.041742
"6","Puerto Rico","Americas",1977,73.44,3080828,9770.524921
"7","Puerto Rico","Americas",1982,73.75,3279001,10330.98915
"8","Puerto Rico","Americas",1987,74.63,3444468,12281.34191
"9","Puerto Rico","Americas",1992,73.911,3585176,14641.58711
"10","Puerto Rico","Americas",1997,74.917,3759430,16999.4333
"11","Puerto Rico","Americas",2002,77.778,3859606,18855.60618
"12","Puerto Rico","Americas",2007,78.746,3942491,19328.70901
"13","Cuba","Americas",1952,59.421,6007797,5586.53878
"14","Cuba","Americas",1957,62.325,6640752,6092.174359
"15","Cuba","Americas",1962,65.246,7254373,5180.75591
"16","Cuba","Americas",1967,68.29,8139332,5690.268015
"17","Cuba","Americas",1972,70.723,8831348,5305.445256
"18","Cuba","Americas",1977,72.649,9537988,6380.494966
"19","Cuba","Americas",1982,73.717,9789224,7316.918107
"20","Cuba","Americas",1987,74.174,10239839,7532.924763
"21","Cuba","Americas",1992,74.414,10723260,5592.843963
"22","Cuba","Americas",1997,76.151,10983007,5431.990415
"23","Cuba","Americas",2002,77.158,11226999,6340.646683
"24","Cuba","Americas",2007,78.273,11416987,8948.102923
"25","Costa Rica","Americas",1952,57.206,926317,2627.009471
"26","Costa Rica","Americas",1957,60.026,1112300,2990.010802
"27","Costa Rica","Americas",1962,62.842,1345187,3460.937025
"28","Costa Rica","Americas",1967,65.424,1588717,4161.727834
"29","Costa Rica","Americas",1972,67.849,1834796,5118.146939
"30","Costa Rica","Americas",1977,70.75,2108457,5926.876967
"31","Costa Rica","Americas",1982,73.45,2424367,5262.734751
"32","Costa Rica","Americas",1987,74.752,2799811,5629.915318
"33","Costa Rica","Americas",1992,75.713,3173216,6160.416317
"34","Costa Rica","Americas",1997,77.26,3518107,6677.045314
"35","Costa Rica","Americas",2002,78.123,3834934,7723.447195
"36","Costa Rica","Americas",2007,78.782,4133884,9645.06142
"37","Canada","Americas",1952,68.75,14785584,11367.16112
"38","Canada","Americas",1957,69.96,17010154,12489.95006
"39","Canada","Americas",1962,71.3,18985849,13462.48555
"40","Canada","Americas",1967,72.13,20819767,16076.58803
"41","Canada","Americas",1972,72.88,22284500,18970.57086
"42","Canada","Americas",1977,74.21,23796400,22090.88306
"43","Canada","Americas",1982,75.76,25201900,22898.79214
"44","Canada","Americas",1987,76.86,26549700,26626.51503
"45","Canada","Americas",1992,77.95,28523502,26342.88426
"46","Canada","Americas",1997,78.61,30305843,28954.92589
"47","Canada","Americas",2002,79.77,31902268,33328.96507
"48","Canada","Americas",2007,80.653,33390141,36319.23501
